,targetname,datetime_str,datetime_jd,M1,solar_presence,k1,flags,RA,DEC,RA_app,DEC_app,RA_rate,DEC_rate,AZ,EL,AZ_rate,EL_rate,sat_X,sat_Y,sat_PANG,siderealtime,airmass,magextinct,Tmag,Nmag,illumination,illum_defect,sat_sep,sat_vis,ang_width,PDObsLon,PDObsLat,PDSunLon,PDSunLat,SubSol_ang,SubSol_dist,NPole_ang,NPole_dist,EclLon,EclLat,r,r_rate,delta,delta_rate,lighttime,vel_sun,vel_obs,elong,elongFlag,alpha,lunar_elong,lunar_illum,sat_alpha,sunTargetPA,velocityPA,OrbPlaneAng,constellation,TDB-UT,ObsEclLon,ObsEclLat,NPole_RA,NPole_DEC,GlxLon,GlxLat,solartime,earth_lighttime,RA_3sigma,DEC_3sigma,SMAA_3sigma,SMIA_3sigma,Theta_3sigma,Area_3sigma,RSS_3sigma,r_3sigma,r_rate_3sigma,SBand_3sigma,XBand_3sigma,DoppDelay_3sigma,true_anom,hour_angle,alpha_true,PABLon,PABLat
0,Garradd (C/2009 P1),2012-Mar-01 12:00,2455988.0,8.8,*,4.5,m,229.6179,66.36976,229.66011,66.31977,-155.906,115.9661,7.956692,21.877605,353.43,91.41,-403818.98,265118.731,337.416,4.5541996447,2.663,0.382,10.482,,92.52323,,381035.8,*,,,,,,71.51,0.0,,,161.3666,42.4139,1.812064035278,11.8942367,1.27046598033479,-4.3068897,10.56614336,31.3003745,49.9197256,105.8433,/L,31.7376,89.8,54.4245,42.4138,251.632,91.928,-11.37886,UMi,66.185381,162.2191932,74.155557,,,103.197012,44.715303,17.7038761046,0.000354,0.091,0.086,0.093,0.085,-27.976,0.02462,0.125,164.8149,1.24e-05,0.38,1.4,0.0011,44.644,-10.756474321,31.7378,161.5445,58.2876
1,Garradd (C/2009 P1),2012-Mar-01 12:10,2455988.006944444,8.8,C,4.5,m,229.59991,66.37514,229.64214,66.32514,-155.973,115.9696,9.010736,22.147864,350.1,103.16,-403908.74,265128.487,337.425,4.7213226331,2.633,0.378,10.482,,92.52402,,381054.4,*,,,,,,71.48,0.0,,,161.3647,42.4105,1.812111742347,11.8950084,1.27044871101931,-4.3044885,10.56599974,31.2999627,49.9332152,105.8485,/L,31.7359,89.8,54.4675,42.4104,251.606,91.913,-11.38419,UMi,66.185381,162.1918653,74.1505358,,,103.209404,44.717139,17.8705662783,0.000354,0.091,0.086,0.093,0.085,-27.968,0.0246209,0.125,164.8118,1.24e-05,0.38,1.4,0.0011,44.6477,-10.588153106,31.736,161.5358,58.2833
2,Garradd (C/2009 P1),2012-Mar-01 12:20,2455988.013888889,8.8,C,4.5,m,229.58192,66.38053,229.62415,66.3305,-156.043,115.9722,10.056349,22.450591,346.39,114.78,-403998.56,265138.243,337.434,4.8884456216,2.6,0.373,10.482,,92.52482,,381073.0,*,,,,,,71.46,0.0,,,161.3628,42.4071,1.81215945251,11.89578,1.27043145152906,-4.3019886,10.5658562,31.2995509,49.9470454,105.8536,/L,31.7342,89.8,54.5104,42.407,251.58,91.897,-11.38952,UMi,66.185381,162.1645447,74.1455104,,,103.221799,44.718973,18.0372562344,0.000354,0.091,0.086,0.093,0.085,-27.96,0.0246219,0.125,164.8088,1.24e-05,0.38,1.4,0.001099,44.6513,-10.419831124,31.7343,161.5271,58.2791
3,Garradd (C/2009 P1),2012-Mar-01 12:30,2455988.020833333,8.8,N,4.5,m,229.56391,66.38591,229.60615,66.33587,-156.116,115.9738,11.092609,22.785406,342.29,126.26,-404088.43,265148.0,337.443,5.05556861,2.564,0.368,10.482,,92.52561,,381091.6,*,,,,,,71.43,0.0,,,161.361,42.4037,1.812207165767,11.8965516,1.27041420228113,-4.2993795,10.56571274,31.2991391,49.961193,105.8588,/L,31.7324,89.8,54.5532,42.4036,251.554,91.882,-11.39485,UMi,66.185382,162.1372313,74.1404809,,,103.2342,44.720805,18.2039459723,0.000354,0.091,0.086,0.093,0.085,-27.952,0.0246228,0.125,164.8057,1.24e-05,0.38,1.4,0.001099,44.655,-10.251508358,31.7326,161.5184,58.2749
4,Garradd (C/2009 P1),2012-Mar-01 12:40,2455988.027777778,8.8,N,4.5,m,229.54589,66.3913,229.58815,66.34124,-156.19,115.9744,12.118604,23.151893,337.81,137.58,-404178.35,265157.756,337.452,5.2226915985,2.526,0.362,10.482,,92.52641,,381110.2,*,,,,,,71.4,0.0,,,161.3591,42.4003,1.812254882118,11.897323,1.27039696373439,-4.2966508,10.56556937,31.2987273,49.9756337,105.8639,/L,31.7307,89.7,54.596,42.4002,251.529,91.866,-11.40019,UMi,66.185382,162.1099252,74.135447,,,103.246605,44.722636,18.370635492,0.000354,0.091,0.086,0.093,0.085,-27.943,0.0246238,0.125,164.8026,1.24e-05,0.38,1.4,0.001099,44.6587,-10.083184789,31.7308,161.5097,58.2706
5,Garradd (C/2009 P1),2012-Mar-01 12:50,2455988.034722222,8.8,N,4.5,m,229.52786,66.39668,229.57012,66.34661,-156.267,115.9738,13.133431,23.549604,332.97,148.74,-404268.34,265167.513,337.46,5.389814587,2.487,0.357,10.482,,92.52721,,381128.7,*,,,,,,71.38,0.0,,,161.3572,42.3969,1.812302601563,11.8980944,1.27037973638854,-4.2937926,10.5654261,31.2983154,49.9903429,105.8691,/L,31.729,89.7,54.6387,42.3968,251.503,91.851,-11.40553,UMi,66.185382,162.0826263,74.1304086,,,103.259015,44.724465,18.5373247938,0.000354,0.091,0.086,0.093,0.085,-27.935,0.0246248,0.125,164.7995,1.24e-05,0.39,1.4,0.001099,44.6623,-9.914860399,31.7291,161.501,58.2664
6,Garradd (C/2009 P1),2012-Mar-01 13:00,2455988.041666667,8.8,A,4.5,m,229.50981,66.40207,229.55209,66.35197,-156.346,115.9719,14.136196,23.978053,327.76,159.71,-404358.38,265177.27,337.469,5.5569375755,2.446,0.351,10.482,,92.528,,381147.3,*,,,,,,71.35,0.0,,,161.3553,42.3935,1.812350324101,11.8988656,1.27036252078322,-4.2907949,10.56528292,31.2979036,50.0052955,105.8743,/L,31.7272,89.7,54.6816,42.3934,251.477,91.835,-11.41087,UMi,66.185382,162.0553347,74.1253657,,,103.27143,44.726293,18.7040138787,0.000354,0.091,0.086,0.093,0.085,-27.927,0.0246257,0.125,164.7965,1.24e-05,0.39,1.4,0.001099,44.666,-9.74653517,31.7274,161.4922,58.2621
7,Garradd (C/2009 P1),2012-Mar-01 13:10,2455988.048611111,8.8,A,4.5,m,229.49176,66.40745,229.53404,66.35734,-156.427,115.9687,15.126016,24.436726,322.2,170.5,-404448.47,265187.026,337.478,5.7240605639,2.403,0.345,10.482,,92.5288,,381165.9,*,,,,,,71.33,0.0,,,161.3535,42.3901,1.812398049731,11.8996368,1.27034531749685,-4.2876482,10.56513984,31.2974917,50.0204658,105.8794,/L,31.7255,89.7,54.7245,42.39,251.451,91.82,-11.41621,UMi,66.185382,162.0280506,74.1203181,,,103.283849,44.728121,18.8707027477,0.000354,0.091,0.086,0.093,0.085,-27.919,0.0246267,0.125,164.7934,1.24e-05,0.39,1.4,0.001099,44.6697,-9.578209086,31.7256,161.4835,58.2579
8,Garradd (C/2009 P1),2012-Mar-01 13:20,2455988.055555556,8.8,A,4.5,m,229.47369,66.41284,229.51599,66.36271,-156.51,115.9641,16.102016,24.925075,316.28,181.08,-404538.63,265196.782,337.487,5.8911835524,2.359,0.338,10.482,,92.5296,,381184.5,*,,,,,,71.3,0.0,,,161.3516,42.3867,1.812445778454,11.9004079,1.27032812714559,-4.2843433,10.56499687,31.2970799,50.035828,105.8846,/L,31.7238,89.7,54.7676,42.3866,251.425,91.804,-11.42155,UMi,66.185382,162.0007739,74.1152656,,,103.296274,44.729946,19.0373914026,0.000354,0.091,0.086,0.093,0.085,-27.911,0.0246276,0.125,164.7903,1.24e-05,0.39,1.4,0.001099,44.6733,-9.409882129,31.7239,161.4748,58.2536
9,Garradd (C/2009 P1),2012-Mar-01 13:30,2455988.0625,8.8,A,4.5,m,229.4556,66.41822,229.49791,66.36807,-156.595,115.958,17.063327,25.442526,310.03,191.45,-404628.84,265206.538,337.496,6.058306541,2.315,0.332,10.482,,92.53039,,381203.1,*,,,,,,71.27,0.0,,,161.3497,42.3833,1.812493510269,11.9011789,1.2703109503821,-4.2808713,10.56485402,31.296668,50.0513556,105.8897,/L,31.722,89.7,54.8109,42.3833,251.399,91.789,-11.4269,UMi,66.185382,161.9735048,74.1102083,,,103.308703,44.731772,19.2040798456,0.000354,0.091,0.086,0.093,0.085,-27.902,0.0246286,0.125,164.7872,1.24e-05,0.39,1.4,0.001099,44.677,-9.241554282,31.7222,161.4661,58.2494
10,Garradd (C/2009 P1),2012-Mar-01 13:40,2455988.069444444,8.8,,4.5,m,229.4375,66.42361,229.47983,66.37344,-156.682,115.9503,18.009084,25.988475,303.44,201.6,-404719.11,265216.292,337.505,6.2254295295,2.27,0.326,10.482,,92.53119,,381221.6,*,,,,,,71.25,0.0,,,161.3478,42.3799,1.812541245175,11.9019498,1.27029378789425,-4.2772234,10.56471128,31.2962561,50.0670221,105.8949,/L,31.7203,89.6,54.8544,42.3799,251.373,91.773,-11.43225,UMi,66.185382,161.9462435,74.105146,,,103.321137,44.733596,19.370768079,0.000354,0.091,0.086,0.093,0.085,-27.894,0.0246296,0.125,164.7842,1.24e-05,0.39,1.4,0.001099,44.6807,-9.073225531,31.7204,161.4574,58.2451
11,Garradd (C/2009 P1),2012-Mar-01 13:50,2455988.076388889,8.8,,4.5,m,229.41939,66.42899,229.46173,66.37881,-156.771,115.941,18.938428,26.562292,296.52,211.51,-404809.45,265226.046,337.514,6.392552518,2.225,0.319,10.482,,92.53199,,381240.2,*,,,,,,71.22,0.0,,,161.346,42.3766,1.812588983172,11.9027206,1.27027664040383,-4.2733915,10.56456867,31.2958442,50.0828005,105.9001,/L,31.7186,89.6,54.8982,42.3765,251.347,91.758,-11.43759,UMi,66.185383,161.9189899,74.1000786,,,103.333577,44.735419,19.5374561057,0.000354,0.091,0.086,0.093,0.085,-27.886,0.0246305,0.125,164.7811,1.24e-05,0.39,1.4,0.001099,44.6844,-8.90489586,31.7187,161.4486,58.2409
12,Garradd (C/2009 P1),2012-Mar-01 14:00,2455988.083333333,8.8,,4.5,m,229.40126,66.43438,229.44361,66.38417,-156.861,115.9299,19.850499,27.163321,289.27,221.19,-404899.84,265235.799,337.522,6.5596755066,2.18,0.313,10.482,,92.53279,,381258.8,*,,,,,,71.2,0.0,,,161.3441,42.3732,1.812636724261,11.9034913,1.27025950866508,-4.2693676,10.56442619,31.2954323,50.0986638,105.9052,/L,31.7168,89.6,54.9423,42.3731,251.321,91.742,-11.44294,UMi,66.185383,161.8917444,74.0950059,,,103.346021,44.737242,19.7041439292,0.000354,0.091,0.087,0.093,0.085,-27.878,0.0246315,0.125,164.778,1.24e-05,0.39,1.4,0.001099,44.688,-8.736565254,31.7169,161.4399,58.2366
13,Garradd (C/2009 P1),2012-Mar-01 14:10,2455988.090277778,8.8,,4.5,m,229.38312,66.43976,229.42548,66.38954,-156.954,115.9171,20.744435,27.790884,281.72,230.62,-404990.3,265245.55,337.531,6.7267984952,2.135,0.306,10.482,,92.53358,,381277.4,*,,,,,,71.17,0.0,,,161.3422,42.3698,1.812684468439,11.9042619,1.27024239346329,-4.2651441,10.56428385,31.2950204,50.1145848,105.9104,/L,31.7151,89.6,54.9868,42.3697,251.295,91.726,-11.44829,UMi,66.185383,161.8645071,74.0899279,,,103.35847,44.739064,19.8708315532,0.000354,0.091,0.087,0.093,0.085,-27.869,0.0246325,0.125,164.7749,1.24e-05,0.39,1.4,0.001099,44.6917,-8.568233698,31.7152,161.4312,58.2324
14,Garradd (C/2009 P1),2012-Mar-01 14:20,2455988.097222222,8.8,,4.5,m,229.36496,66.44514,229.40734,66.3949,-157.047,115.9024,21.619371,28.444278,273.85,239.79,-405080.82,265255.3,337.54,6.8939214837,2.091,0.3,10.482,,92.53438,,381296.0,*,,,,,,71.15,0.0,,,161.3404,42.3664,1.812732215708,11.9050325,1.27022529561322,-4.260714,10.56414165,31.2946084,50.1305361,105.9156,/L,31.7133,89.6,55.0317,42.3663,251.269,91.711,-11.45365,UMi,66.185383,161.8372781,74.0848446,,,103.370924,44.740886,20.0375189817,0.000354,0.091,0.087,0.093,0.085,-27.861,0.0246334,0.125,164.7718,1.24e-05,0.39,1.4,0.001099,44.6954,-8.39990118,31.7135,161.4225,58.2281
15,Garradd (C/2009 P1),2012-Mar-01 14:30,2455988.104166667,8.8,,4.5,m,229.34679,66.45053,229.38918,66.40027,-157.142,115.8857,22.474431,29.12278,265.69,248.69,-405171.4,265265.048,337.549,7.0610444723,2.047,0.293,10.482,,92.53518,,381314.6,*,,,,,,71.12,0.0,,,161.3385,42.363,1.812779966066,11.9058029,1.27020821595753,-4.2560705,10.5639996,31.2941965,50.1464905,105.9207,/L,31.7116,89.6,55.0771,42.3629,251.243,91.695,-11.459,UMi,66.185383,161.8100577,74.0797556,,,103.383383,44.742708,20.2042062192,0.000354,0.091,0.087,0.093,0.085,-27.853,0.0246344,0.125,164.7688,1.24e-05,0.39,1.4,0.001099,44.699,-8.231567687,31.7117,161.4138,58.2239
16,Garradd (C/2009 P1),2012-Mar-01 14:40,2455988.111111111,8.8,,4.5,m,229.32861,66.45591,229.37101,66.40563,-157.239,115.8671,23.308727,29.825645,257.23,257.33,-405262.05,265274.794,337.558,7.2281674609,2.003,0.287,10.482,,92.53598,,381333.2,*,,,,,,71.09,0.0,,,161.3366,42.3596,1.812827719514,11.9065733,1.27019115536518,-4.2512071,10.56385772,31.2937845,50.1624206,105.9259,/L,31.7098,89.6,55.1229,42.3595,251.217,91.68,-11.46436,UMi,66.185383,161.7828461,74.0746611,,,103.395847,44.744529,20.3708932707,0.000354,0.091,0.087,0.093,0.085,-27.845,0.0246353,0.125,164.7657,1.24e-05,0.39,1.4,0.001099,44.7027,-8.063233206,31.71,161.405,58.2196
17,Garradd (C/2009 P1),2012-Mar-01 14:50,2455988.118055556,8.8,,4.5,m,229.31041,66.46129,229.35282,66.41099,-157.337,115.8464,24.121357,30.552107,248.48,265.68,-405352.75,265284.537,337.567,7.3952904495,1.96,0.281,10.482,,92.53679,,381351.8,*,,,,,,71.07,0.0,,,161.3347,42.3562,1.81287547605,11.9073436,1.27017411472967,-4.2461181,10.56371599,31.2933726,50.1782992,105.9311,/L,31.7081,89.5,55.1693,42.3561,251.191,91.664,-11.46971,UMi,66.185383,161.7556435,74.0695609,,,103.408315,44.746351,20.5375801413,0.000354,0.091,0.087,0.093,0.085,-27.836,0.0246363,0.125,164.7626,1.24e-05,0.39,1.4,0.001099,44.7064,-7.894897725,31.7082,161.3963,58.2154
18,Garradd (C/2009 P1),2012-Mar-01 15:00,2455988.125,8.8,,4.5,m,229.29219,66.46667,229.33462,66.41636,-157.436,115.8236,24.911393,31.301383,239.44,273.75,-405443.52,265294.278,337.576,7.5624134381,1.918,0.275,10.482,,92.53759,,381370.4,*,,,,,,71.04,0.0,,,161.3329,42.3528,1.812923235675,11.9081138,1.27015709496735,-4.2407978,10.56357444,31.2929606,50.1940991,105.9362,/L,31.7064,89.5,55.2162,42.3527,251.165,91.648,-11.47507,UMi,66.185384,161.7284501,74.0644549,,,103.420789,44.748172,20.7042668367,0.000354,0.091,0.087,0.093,0.085,-27.828,0.0246373,0.125,164.7595,1.24e-05,0.39,1.4,0.001099,44.71,-7.726561234,31.7065,161.3876,58.2111
19,Garradd (C/2009 P1),2012-Mar-01 15:10,2455988.131944444,8.8,,4.5,m,229.27396,66.47204,229.3164,66.42172,-157.536,115.7987,25.677883,32.072668,230.13,281.53,-405534.36,265304.016,337.585,7.7295364268,1.877,0.269,10.482,,92.53839,,381389.0,*,,,,,,71.01,0.0,,,161.331,42.3494,1.812970998388,11.9088839,1.27014009701567,-4.2352414,10.56343308,31.2925486,50.2097934,105.9414,/L,31.7046,89.5,55.2638,42.3493,251.138,91.633,-11.48042,UMi,66.185384,161.7012663,74.059343,,,103.433267,44.749993,20.8709533628,0.000354,0.091,0.087,0.093,0.085,-27.82,0.0246382,0.125,164.7564,1.24e-05,0.39,1.41,0.001099,44.7137,-7.558223722,31.7047,161.3789,58.2068
20,Garradd (C/2009 P1),2012-Mar-01 15:20,2455988.138888889,8.8,,4.5,m,229.25571,66.47742,229.29817,66.42708,-157.638,115.7717,26.41984,32.86514,220.54,289.0,-405625.26,265313.75,337.594,7.8966594154,1.837,0.263,10.482,,92.5392,,381407.7,*,,,,,,70.99,0.0,,,161.3291,42.346,1.813018764188,11.9096539,1.27012312183127,-4.2294442,10.5632919,31.2921366,50.2253554,105.9466,/L,31.7029,89.5,55.3119,42.3459,251.112,91.617,-11.48578,UMi,66.185384,161.6740923,74.0542252,,,103.44575,44.751815,21.037639726,0.000354,0.091,0.087,0.093,0.085,-27.812,0.0246392,0.125,164.7533,1.24e-05,0.39,1.41,0.001099,44.7174,-7.389885181,31.703,161.3702,58.2026
21,Garradd (C/2009 P1),2012-Mar-01 15:30,2455988.145833333,8.8,,4.5,m,229.23745,66.4828,229.27992,66.43243,-157.74,115.7424,27.136241,33.677957,210.69,296.17,-405716.22,265323.481,337.603,8.0637824041,1.798,0.258,10.482,,92.54,,381426.3,*,,,,,,70.96,0.0,,,161.3273,42.3426,1.813066533076,11.9104238,1.27010617038824,-4.2234022,10.56315092,31.2917246,50.2407586,105.9517,/L,31.7011,89.5,55.3608,42.3425,251.086,91.601,-11.49114,UMi,66.185384,161.6469284,74.0491014,,,103.458238,44.753637,21.2043259327,0.000354,0.091,0.087,0.093,0.085,-27.803,0.0246402,0.125,164.7503,1.24e-05,0.39,1.41,0.001099,44.721,-7.221545601,31.7012,161.3614,58.1983
22,Garradd (C/2009 P1),2012-Mar-01 15:40,2455988.152777778,8.8,,4.5,m,229.21917,66.48817,229.26166,66.43779,-157.843,115.7108,27.826012,34.510258,200.56,303.03,-405807.25,265333.209,337.612,8.2309053927,1.76,0.252,10.482,,92.54081,,381444.9,*,,,,,,70.94,0.0,,,161.3254,42.3392,1.81311430505,11.9111936,1.27008924367612,-4.2171116,10.56301014,31.2913126,50.2559768,105.9569,/L,31.6993,89.5,55.4103,42.3391,251.06,91.585,-11.4965,UMi,66.185384,161.6197748,74.0439714,,,103.47073,44.75546,21.3710119899,0.000354,0.091,0.087,0.093,0.085,-27.795,0.0246411,0.125,164.7472,1.24e-05,0.39,1.41,0.001099,44.7247,-7.053204975,31.6995,161.3527,58.194
23,Garradd (C/2009 P1),2012-Mar-01 15:50,2455988.159722222,8.8,,4.5,m,229.20087,66.49354,229.24338,66.44315,-157.946,115.677,28.488031,35.361163,190.17,309.57,-405898.34,265342.932,337.62,8.3980283814,1.724,0.247,10.482,,92.54161,,381463.6,*,,,,,,70.91,0.0,,,161.3235,42.3358,1.813162080111,11.9119634,1.27007234269805,-4.2105694,10.56286958,31.2909006,50.2709844,105.9621,/L,31.6976,89.5,55.4606,42.3358,251.034,91.57,-11.50186,UMi,66.185384,161.5926319,74.0388353,,,103.483227,44.757282,21.5376979048,0.000354,0.091,0.087,0.093,0.085,-27.787,0.0246421,0.125,164.7441,1.24e-05,0.39,1.41,0.001099,44.7284,-6.884863295,31.6977,161.344,58.1897
24,Garradd (C/2009 P1),2012-Mar-01 16:00,2455988.166666667,8.8,,4.5,m,229.18256,66.49891,229.22508,66.4485,-158.051,115.6408,29.121108,36.229773,179.52,315.78,-405989.49,265352.65,337.629,8.5651513701,1.688,0.242,10.482,,92.54242,,381482.2,*,,,,,,70.88,0.0,,,161.3216,42.3324,1.813209858258,11.912733,1.27005546846882,-4.2037729,10.56272924,31.2904885,50.2857559,105.9673,/L,31.6958,89.4,55.5116,42.3324,251.007,91.554,-11.50722,UMi,66.185384,161.5655001,74.033693,,,103.495728,44.759106,21.7043836851,0.000354,0.091,0.087,0.093,0.085,-27.779,0.0246431,0.125,164.741,1.24e-05,0.39,1.41,0.001099,44.732,-6.716520556,31.6959,161.3353,58.1855
25,Garradd (C/2009 P1),2012-Mar-01 16:10,2455988.173611111,8.8,,4.5,m,229.16423,66.50428,229.20677,66.45385,-158.155,115.6023,29.723987,37.115165,168.61,321.65,-406080.71,265362.364,337.638,8.7322743588,1.653,0.237,10.482,,92.54323,,381500.8,*,,,,,,70.86,0.0,,,161.3198,42.329,1.813257639491,11.9135026,1.27003862201288,-4.1967199,10.56258913,31.2900765,50.3002665,105.9725,/L,31.6941,89.4,55.5635,42.329,250.981,91.538,-11.51258,UMi,66.185385,161.5383796,74.0285444,,,103.508234,44.76093,21.8710693382,0.000354,0.091,0.087,0.093,0.085,-27.77,0.024644,0.125,164.7379,1.24e-05,0.39,1.41,0.001099,44.7357,-6.548176752,31.6942,161.3266,58.1812
26,Garradd (C/2009 P1),2012-Mar-01 16:20,2455988.180555556,8.8,,4.5,m,229.14589,66.50965,229.18844,66.45921,-158.261,115.5615,30.29533,38.016394,157.44,327.18,-406171.99,265372.072,337.647,8.8993973475,1.62,0.232,10.482,,92.54404,,381519.5,*,,,,,,70.83,0.0,,,161.3179,42.3256,1.813305423809,11.9142721,1.27002180436238,-4.1894088,10.56244927,31.2896644,50.3144917,105.9776,/L,31.6923,89.4,55.6161,42.3256,250.955,91.522,-11.51794,UMi,66.185385,161.5112708,74.0233894,,,103.520744,44.762755,22.0377548724,0.000354,0.091,0.087,0.093,0.085,-27.762,0.024645,0.125,164.7348,1.24e-05,0.39,1.41,0.001099,44.7394,-6.379831878,31.6924,161.3179,58.1769
27,Garradd (C/2009 P1),2012-Mar-01 16:30,2455988.1875,8.8,,4.5,m,229.12753,66.51502,229.17009,66.46455,-158.366,115.5183,30.833705,38.932493,146.01,332.35,-406263.34,265381.775,337.656,9.0665203362,1.588,0.228,10.482,,92.54485,,381538.2,*,,,,,,70.8,0.0,,,161.316,42.3222,1.813353211211,11.9150415,1.27000501655514,-4.1818384,10.56230965,31.2892524,50.3284079,105.9828,/L,31.6905,89.4,55.6696,42.3222,250.929,91.506,-11.5233,UMi,66.185385,161.484174,74.018228,,,103.533259,44.764581,22.2044402959,0.000354,0.091,0.087,0.093,0.085,-27.754,0.0246459,0.126,164.7317,1.24e-05,0.39,1.41,0.001099,44.743,-6.211485931,31.6906,161.3091,58.1726
28,Garradd (C/2009 P1),2012-Mar-01 16:40,2455988.194444444,8.8,,4.5,m,229.10915,66.52038,229.15173,66.4699,-158.471,115.4727,31.337583,39.862466,134.32,337.17,-406354.75,265391.472,337.665,9.2336433249,1.557,0.223,10.482,,92.54566,,381556.8,*,,,,,,70.78,0.0,,,161.3142,42.3188,1.813401001699,11.9158107,1.2699882596327,-4.1740081,10.56217028,31.2888403,50.3419918,105.988,/L,31.6888,89.4,55.724,42.3188,250.902,91.491,-11.52866,UMi,66.185385,161.4570896,74.0130602,,,103.545777,44.766408,22.3711256171,0.000354,0.091,0.087,0.093,0.085,-27.746,0.0246469,0.126,164.7287,1.24e-05,0.39,1.41,0.001099,44.7467,-6.043138908,31.6889,161.3004,58.1683
29,Garradd (C/2009 P1),2012-Mar-01 16:50,2455988.201388889,8.8,,4.5,m,229.09076,66.52574,229.13336,66.47525,-158.577,115.4247,31.805314,40.805289,122.37,341.6,-406446.22,265401.162,337.674,9.4007663136,1.527,0.219,10.482,,92.54647,,381575.5,*,,,,,,70.75,0.0,,,161.3123,42.3154,1.81344879527,11.9165799,1.26997153463822,-4.1659175,10.56203119,31.2884282,50.3552209,105.9932,/L,31.687,89.4,55.7793,42.3154,250.876,91.475,-11.53402,UMi,66.185385,161.430018,74.0078859,,,103.5583,44.768236,22.5378108447,0.000354,0.091,0.087,0.093,0.085,-27.737,0.0246479,0.126,164.7256,1.24e-05,0.39,1.41,0.001099,44.7504,-5.874790807,31.6871,161.2917,58.1641
30,Garradd (C/2009 P1),2012-Mar-01 17:00,2455988.208333333,8.8,,4.5,m,229.07235,66.5311,229.11496,66.48059,-158.682,115.3744,32.235125,41.759908,110.16,345.66,-406537.75,265410.846,337.683,9.5678893024,1.499,0.215,10.482,,92.54728,,381594.2,*,,,,,,70.73,0.0,,,161.3104,42.312,1.813496591925,11.9173491,1.26995484261456,-4.1575672,10.56189236,31.2880161,50.3680732,105.9984,/L,31.6852,89.4,55.8354,42.312,250.85,91.459,-11.53938,UMi,66.185385,161.4029595,74.0027051,,,103.570826,44.770065,22.7044959877,0.000354,0.091,0.087,0.093,0.085,-27.729,0.0246488,0.126,164.7225,1.24e-05,0.39,1.41,0.001099,44.754,-5.706441627,31.6853,161.283,58.1598
31,Garradd (C/2009 P1),2012-Mar-01 17:10,2455988.215277778,8.8,,4.5,m,229.05393,66.53646,229.09655,66.48593,-158.788,115.3217,32.625096,42.72523,97.69,349.31,-406629.35,265420.523,337.692,9.7350122911,1.471,0.211,10.482,,92.5481,,381612.9,*,,,,,,70.7,0.0,,,161.3086,42.3086,1.813544391663,11.9181181,1.26993818460217,-4.148958,10.56175382,31.287604,50.3805276,106.0036,/L,31.6835,89.4,55.8925,42.3087,250.823,91.443,-11.54474,UMi,66.185386,161.3759145,73.9975177,,,103.583356,44.771895,22.8711810551,0.000354,0.091,0.087,0.093,0.085,-27.721,0.0246498,0.126,164.7194,1.24e-05,0.39,1.41,0.001099,44.7577,-5.538091367,31.6835,161.2743,58.1555
32,Garradd (C/2009 P1),2012-Mar-01 17:20,2455988.222222222,8.8,,4.5,m,229.03549,66.54181,229.07813,66.49127,-158.893,115.2667,32.973153,43.700126,84.94,352.55,-406721.01,265430.192,337.701,9.9021352798,1.445,0.207,10.482,,92.54891,,381631.5,*,,,,,,70.67,0.0,,,161.3067,42.3052,1.813592194484,11.918887,1.26992156163717,-4.1400911,10.56161557,31.2871919,50.3925637,106.0088,/L,31.6817,89.3,55.9506,42.3053,250.797,91.427,-11.5501,UMi,66.185386,161.3488834,73.9923237,,,103.59589,44.773726,23.0378660561,0.000354,0.091,0.087,0.093,0.085,-27.713,0.0246508,0.126,164.7163,1.24e-05,0.39,1.41,0.001099,44.7614,-5.369740028,31.6818,161.2656,58.1512
33,Garradd (C/2009 P1),2012-Mar-01 17:30,2455988.229166667,8.8,,4.5,m,229.01703,66.54716,229.05969,66.4966,-158.997,115.2092,33.277042,44.683422,71.93,355.35,-406812.72,265439.854,337.71,10.0692582686,1.42,0.204,10.482,,92.54973,,381650.2,*,,,,,,70.65,0.0,,,161.3048,42.3018,1.813640000387,11.9196559,1.26990497474928,-4.1309685,10.56147762,31.2867797,50.4041619,106.014,/L,31.6799,89.3,56.0096,42.3019,250.771,91.411,-11.55546,UMi,66.185386,161.3218666,73.9871232,,,103.608428,44.775559,23.204551,0.000354,0.091,0.087,0.093,0.085,-27.704,0.0246517,0.126,164.7132,1.24e-05,0.39,1.41,0.001099,44.765,-5.201387611,31.68,161.2569,58.1469
34,Garradd (C/2009 P1),2012-Mar-01 17:40,2455988.236111111,8.8,,4.5,m,228.99856,66.55251,229.04123,66.50194,-159.101,115.1495,33.534321,45.673895,58.64,357.71,-406904.5,265449.507,337.719,10.2363812574,1.396,0.2,10.482,,92.55055,,381668.9,*,,,,,,70.62,0.0,,,161.303,42.2984,1.813687809372,11.9204246,1.26988842495985,-4.1215924,10.56133998,31.2863676,50.4153035,106.0191,/L,31.6781,89.3,56.0696,42.2985,250.744,91.395,-11.56082,UMi,66.185386,161.2948644,73.981916,,,103.620969,44.777392,23.3712358963,0.000354,0.091,0.087,0.093,0.085,-27.696,0.0246527,0.126,164.7101,1.24e-05,0.39,1.41,0.001099,44.7687,-5.033034119,31.6782,161.2482,58.1426
